time	reading
1405525625	49.985638
1405525626	49.986542
1405525627	49.98735
1405525628	49.98822
1405525629	49.989014
1405525630	49.989571
1405525631	49.990158
1405525632	49.990696
1405525633	49.99102
1405525634	49.991299
1405525635	49.991497
1405525636	49.991627
1405525637	49.991978
1405525638	49.992577
1405525639	49.993256
1405525640	49.993988
1405525641	49.994755
1405525642	49.995338
1405525643	49.995796
1405525644	49.996056
1405525645	49.996128
1405525646	49.996105
1405525647	49.995953
1405525648	49.995441
1405525649	49.994617
1405525650	49.993652
1405525651	49.992493
1405525652	49.991226
1405525653	49.989807
1405525654	49.988239
1405525655	49.986473
1405525656	49.984798
1405525657	49.9832
1405525658	49.981846
1405525659	49.981056
1405525660	49.980816
1405525661	49.980713
1405525662	49.980724
1405525663	49.98093
1405525664	49.981613
1405525665	49.982422
1405525666	49.983528
1405525667	49.984909
1405525668	49.986378
1405525669	49.987659
1405525670	49.988731
1405525671	49.989674
1405525672	49.990482
1405525673	49.991238
1405525674	49.992161
1405525675	49.993397
1405525676	49.994377
1405525677	49.995396
1405525678	49.995934
1405525679	49.99622
1405525681	49.9963
1405525682	49.996449
1405525683	49.996639
1405525684	49.996933
1405525685	49.997036
1405525686	49.996861
1405525687	49.996571
1405525688	49.996147
1405525689	49.99572
1405525690	49.995384
1405525691	49.994907
1405525692	49.994411
1405525693	49.99435
1405525694	49.99453
1405525695	49.994667
1405525696	49.994675
1405525697	49.994659
1405525698	49.99437
1405525699	49.993954
1405525700	49.993507
1405525701	49.992931
1405525702	49.992306
1405525703	49.991673
1405525704	49.990841
1405525705	49.989941
1405525706	49.989193
1405525707	49.98859
1405525708	49.987999
1405525709	49.987507
1405525710	49.987087
1405525711	49.986805
1405525712	49.986786
1405525713	49.986717
1405525714	49.986607
1405525715	49.986504
1405525716	49.98645
1405525717	49.986439
1405525718	49.986599
1405525719	49.986778
1405525720	49.986839
1405525721	49.986889
1405525722	49.987019
1405525723	49.987068
1405525724	49.987064
1405525725	49.987095
1405525726	49.987026
1405525727	49.986774
1405525728	49.98653
1405525729	49.986244
1405525730	49.985558
1405525731	49.984783
1405525732	49.984123
